Seconds,Latency
1614388513,258
1614388513,476
1614388514,354
1614388514,216
1614388514,264
1614388514,370
1614388515,486
1614388515,383
1614388516,436
1614388516,384
1614388516,294
1614388517,425
1614388517,331
1614388517,359
1614388518,250
1614388518,441
1614388519,575
1614388519,314
1614388519,311
1614388520,199
1614388520,197
1614388520,515
1614388521,325
1614388521,321
1614388521,345
1614388522,392
1614388522,366
1614388522,438
1614388523,688
1614388523,363
1614388524,484
1614388524,399
1614388525,648
1614388525,373
1614388526,585
1614388526,413
1614388527,312
1614388527,279
1614388527,463
1614388528,702
1614388529,694
1614388529,580
1614388530,365
1614388530,128
1614388530,387
1614388531,458
1614388531,175
1614388531,276
1614388532,391
1614388532,544
1614388533,532
1614388533,328
1614388533,289
1614388534,447
1614388534,418
1614388535,376
1614388535,332
1614388535,427
1614388536,449
1614388536,352
1614388536,502
1614388537,464
1614388537,276
1614388538,344
1614388538,523
1614388539,385
1614388539,383
1614388539,435
1614388540,318
1614388540,496
1614388541,391
1614388541,632
1614388542,567
1614388542,440
1614388543,401
1614388543,672
1614388544,468
1614388544,493
1614388545,392
1614388545,453
1614388546,420
1614388546,400
1614388546,439
1614388547,242
1614388547,392
1614388547,596
1614388548,572
1614388549,448
1614388549,326
1614388549,501
1614388550,526
1614388550,391
1614388551,326
1614388551,384
1614388551,355
1614388552,416
1614388552,415
1614388553,584
1614388553,413
1614388554,509
1614388554,386
1614388555,526
1614388555,406
1614388556,265
1614388556,402
1614388556,464
1614388557,482
1614388557,433
1614388558,124
1614388558,353
1614388558,353
1614388558,337
1614388559,485
1614388559,358
1614388560,297
1614388560,408
1614388560,324
1614388561,681
1614388561,317
1614388562,398
1614388562,236
1614388562,591
1614388563,353
1614388563,523
1614388564,441
1614388564,424
1614388565,535
1614388565,335
1614388565,520
1614388566,619
1614388567,276
1614388567,364
1614388567,864
1614388568,622
1614388569,423
1614388569,358
1614388569,264
1614388570,644
1614388570,359
1614388571,383
1614388571,367
1614388572,498
1614388572,542
1614388573,468
1614388573,435
1614388573,373
1614388574,420
1614388574,386
1614388575,246
1614388575,487
1614388575,452
1614388576,154
1614388576,337
1614388576,710
1614388577,520
1614388578,287
1614388578,341
1614388578,601
1614388579,490
1614388579,470
1614388580,321
1614388580,370
1614388580,532
1614388581,436
1614388581,335
1614388582,517
1614388582,559
1614388583,321
1614388583,325
1614388583,389
1614388584,775
1614388585,575
1614388585,515
1614388586,513
1614388586,492
1614388587,791
1614388588,523
1614388588,431
1614388588,410
1614388589,510
1614388589,447
1614388590,514
1614388590,332
1614388591,233
1614388591,335
1614388591,515
1614388592,559
1614388592,263
1614388593,316
1614388593,759
1614388594,322
1614388594,332
1614388594,257
1614388595,576
1614388595,636
1614388596,367
1614388596,450
1614388597,370
1614388597,298
1614388597,244
1614388598,332
1614388598,359
1614388598,434
1614388599,419
1614388599,341
1614388599,526
1614388600,451
1614388600,845
1614388601,549
1614388602,667
1614388602,531
1614388603,612
1614388604,370
1614388604,474
1614388604,443
1614388605,358
1614388605,710
1614388606,518
1614388606,696
1614388607,643
1614388608,319
1614388608,666
1614388609,473
1614388609,243
1614388610,484
1614388610,754
1614388611,385
1614388611,435
1614388612,609
1614388612,636
1614388613,730
1614388614,345
1614388614,566
1614388614,508
1614388615,451
1614388615,332
1614388616,386
1614388616,708
1614388617,658
1614388618,457
1614388618,627
1614388619,474
1614388619,399
1614388619,509
1614388620,445
1614388620,559
1614388621,347
1614388621,391
1614388622,396
1614388622,643
1614388623,338
1614388623,541
1614388624,348
1614388624,308
1614388624,486
1614388625,390
1614388625,808
1614388626,505
1614388626,516
1614388627,392
1614388627,398
1614388628,371
1614388628,272
1614388628,584
1614388629,528
1614388630,431
1614388630,329
1614388630,306
1614388631,372
1614388631,494
1614388631,354
1614388632,373
1614388632,613
1614388633,375
1614388633,436
1614388634,425
1614388634,363
1614388634,490
1614388635,361
1614388635,374
1614388636,507
1614388636,555
1614388637,577
1614388637,459
1614388638,454
1614388638,390
1614388639,629
1614388639,466
1614388640,640
1614388640,384
1614388641,390
1614388641,307
1614388641,573
1614388642,568
1614388643,367
1614388643,340
1614388643,746
1614388644,560
1614388645,501
1614388645,484
1614388646,429
1614388646,461
1614388646,290
1614388647,440
1614388647,253
1614388647,667
1614388648,426
1614388649,688
1614388649,382
1614388650,255
1614388650,269
1614388650,352
1614388650,460
1614388651,683
1614388652,421
1614388652,360
1614388652,537
1614388653,588
1614388654,341
1614388654,378
1614388654,528
1614388655,591
1614388655,626
1614388656,438
1614388656,315
1614388657,420
1614388657,647
1614388658,438
1614388658,501
1614388659,415
1614388659,485
1614388660,382
1614388660,732
1614388661,547
1614388661,787
1614388662,623
1614388663,519
1614388663,823
1614388664,491
1614388665,702
1614388665,551
1614388666,547
1614388666,572
1614388667,422
1614388667,308
1614388668,437
1614388668,571
1614388669,562
1614388669,593
1614388670,587
1614388670,525
1614388671,586
1614388672,739
1614388672,581
1614388673,550
1614388673,771
1614388674,674
1614388675,673
1614388676,528
1614388676,663
1614388677,693
1614388677,480
1614388678,549
1614388678,722
1614388679,1258
1614388680,536
1614388681,585
1614388682,675
1614388682,554
1614388683,536
1614388683,568
1614388684,603
1614388684,413
1614388685,339
1614388685,455
1614388686,618
1614388686,527
1614388687,655
1614388688,651
1614388688,468
1614388689,357
1614388689,519
1614388690,626
1614388690,558
1614388691,547
1614388691,603
1614388692,426
1614388692,164
1614388692,559
1614388693,451
1614388693,551
1614388694,2276
1614388696,433
1614388697,523
1614388697,510
1614388698,591
1614388698,457
1614388699,498
1614388699,591
1614388700,724
1614388701,804
1614388701,1074
1614388702,1009
1614388703,420
1614388704,324
1614388704,456
1614388705,798
1614388705,383
1614388706,384
1614388706,526
1614388707,685
1614388707,405
1614388708,836
1614388709,411
1614388709,233
1614388709,353
1614388710,573
1614388710,572
1614388711,470
1614388711,585
1614388712,427
1614388712,373
1614388713,794
1614388714,629
1614388714,630
1614388715,701
1614388715,637
1614388716,773
1614388717,568
1614388717,773
1614388718,652
1614388719,540
1614388719,593
1614388720,890
1614388721,736
1614388722,324
1614388722,1001
1614388723,606
1614388724,329
1614388724,287
1614388724,656
1614388725,462
1614388725,452
1614388726,709
1614388726,553
1614388727,378
1614388727,608
1614388728,876
1614388729,682
1614388730,705
1614388730,560
1614388731,373
1614388731,526
1614388732,475
1614388732,347
1614388733,1202
1614388734,557
1614388734,738
1614388735,570
1614388736,599
1614388736,584
1614388737,600
1614388737,743
1614388738,481
1614388739,647
1614388739,1001
1614388740,598
1614388741,451
1614388741,817
1614388742,458
1614388743,572
1614388743,618
1614388744,385
1614388744,537
1614388745,428
1614388745,582
1614388746,623
1614388746,603
1614388747,431
1614388747,375
1614388748,407
1614388748,983
1614388749,596
1614388750,304
1614388750,551
1614388751,749
1614388751,623
1614388752,666
1614388753,517
1614388753,471
1614388754,795
1614388754,506
1614388755,371
1614388755,501
1614388756,656
1614388756,701
1614388757,671
1614388758,686
1614388759,705
1614388759,715
1614388760,849
1614388761,613
1614388761,484
1614388762,544
1614388762,428
1614388763,524
1614388763,557
1614388764,677
1614388765,762
1614388765,366
1614388766,348
1614388766,628
1614388767,480
1614388767,441
1614388768,587
1614388768,660
1614388769,571
1614388769,419
1614388770,381
1614388770,402
1614388771,739
1614388771,490
1614388772,563
1614388772,556
1614388773,842
1614388774,595
1614388774,497
1614388775,968
1614388776,732
1614388777,645
1614388777,424
1614388778,797
1614388779,474
1614388779,1009
1614388780,419
1614388780,433
1614388781,445
1614388781,360
1614388782,508
1614388782,578
1614388783,638
1614388783,578
1614388784,407
1614388784,587
1614388785,599
1614388786,432
1614388786,526
1614388787,721
1614388787,492
1614388788,557
1614388788,641
1614388789,2316
1614388791,564
1614388792,453
1614388792,541
1614388793,904
1614388794,457
1614388794,611
1614388795,764
1614388796,762
1614388796,533
1614388797,537
1614388797,679
1614388798,430
1614388799,837
1614388799,739
1614388800,692
1614388801,630
1614388801,605
1614388802,460
1614388802,618
1614388803,391
1614388803,480
1614388804,622
1614388805,535
1614388805,419
1614388806,533
1614388806,620
1614388807,588
1614388807,667
1614388808,874
1614388809,699
1614388810,833
1614388810,638
1614388811,602
1614388812,683
1614388812,483
1614388813,503
1614388813,825
1614388814,600
1614388815,348
1614388815,717
1614388816,635
1614388816,1127
1614388818,599
1614388818,667
1614388819,657
1614388819,905
1614388820,483
1614388821,597
1614388821,546
1614388822,490
1614388822,644
1614388823,685
1614388824,693
1614388824,614
1614388825,576
1614388826,557
1614388826,487
1614388827,532
1614388827,1419
1614388829,474
1614388829,3051
1614388832,829
1614388833,743
1614388834,774
1614388835,641
1614388835,474
1614388836,611
1614388836,590
1614388837,810
1614388838,572
1614388838,480
1614388839,579
1614388839,748
1614388840,669
1614388841,607
1614388841,661
1614388842,445
1614388842,1043
1614388843,559
1614388844,716
1614388845,738
1614388846,728
1614388846,2000
1614388848,626
1614388849,493
1614388849,502
1614388850,611
1614388850,712
1614388851,421
1614388852,725
1614388852,504
1614388853,687
1614388854,1000
1614388855,534
1614388855,593
1614388856,605
1614388856,808
1614388857,660
1614388858,549
1614388858,616
1614388859,616
1614388860,607
1614388860,831
1614388861,573
1614388862,507
1614388862,593
1614388863,835
1614388863,437
1614388864,393
1614388864,472
1614388865,680
1614388865,533
1614388866,805
1614388867,883
1614388868,601
1614388868,786
1614388869,712
1614388870,761
1614388871,926
1614388871,597
1614388872,931
1614388873,687
1614388874,1165
1614388875,947
1614388876,601
1614388876,535
1614388877,469
1614388877,664
1614388878,626
1614388879,557
1614388879,520
1614388880,702
1614388880,739
1614388881,384
1614388882,1083
1614388883,643
1614388883,540
1614388884,674
1614388885,7467
1614388892,709
1614388893,849
1614388894,828
1614388894,1144
1614388896,995
1614388897,645
1614388897,499
1614388898,755
1614388898,447
1614388899,740
1614388900,844
1614388900,695
1614388901,484
1614388902,515
1614388902,557
1614388903,587
1614388903,652
1614388904,9948
1614388914,659
1614388915,834
1614388915,423
1614388916,641
1614388916,492
1614388917,806
1614388918,476
1614388918,548
1614388919,589
1614388919,872
1614388920,640
1614388921,674
1614388922,523
1614388922,656
1614388923,885
1614388924,704
1614388924,531
1614388925,1025
1614388926,698
1614388927,649
1614388927,530
1614388928,835
1614388929,673
1614388929,559
1614388930,588
1614388930,796
1614388931,880
1614388932,726
1614388933,1639
1614388934,694
1614388935,667
1614388936,616
1614388936,703
1614388937,703
1614388938,569
1614388938,575
1614388939,599
1614388940,643
1614388940,633
1614388941,854
1614388942,549
1614388942,792
1614388943,426
1614388943,1218
1614388945,608
1614388945,456
1614388946,905
1614388947,651
1614388947,776
1614388948,862
1614388949,1040
1614388950,957
1614388951,890
1614388952,716
1614388953,901
1614388953,918
1614388954,591
1614388955,675
1614388956,821
1614388956,568
1614388957,766
1614388958,662
1614388958,799
1614388959,1185
1614388960,772
1614388961,826
1614388962,1224
1614388963,693
1614388964,524
1614388965,526
1614388965,697
1614388966,505
1614388966,511
1614388967,500
1614388967,595
1614388968,966
1614388969,782
1614388970,764
1614388970,685
1614388971,527
1614388972,874
1614388972,560
1614388973,715
1614388974,533
1614388974,608
1614388975,871
1614388976,544
1614388976,855
1614388977,859
1614388978,617
1614388979,600
1614388979,546
1614388980,759
1614388981,692
1614388981,1002
1614388982,1021
1614388983,902
1614388984,283
1614388984,4629
1614388989,904
1614388990,506
1614388990,876
1614388991,766
1614388992,502
1614388993,695
1614388993,1041
1614388994,1090
1614388995,807
1614388996,645
1614388997,838
1614388998,1022
1614388999,981
1614389000,524
1614389000,591
1614389001,775
1614389002,885
1614389003,338
1614389003,920
1614389004,695
1614389004,1060
1614389006,823
1614389006,798
1614389007,588
1614389008,960
1614389009,729
1614389009,598
1614389010,863
1614389011,1041
1614389012,841
1614389013,711
1614389013,979
1614389014,774
1614389015,689
1614389016,682
1614389017,364
1614389017,712
1614389018,669
1614389018,461
1614389019,810
1614389020,643
1614389020,657
1614389021,894
1614389022,485
1614389022,736
1614389023,601
1614389024,943
1614389025,860
1614389025,788
1614389026,684
1614389027,968
1614389028,768
1614389029,815
1614389029,912
1614389030,774
1614389031,949
1614389032,1196
1614389033,646
1614389034,1047
1614389035,890
1614389036,1187
1614389037,559
1614389038,1256
1614389039,435
1614389039,878
1614389040,770
1614389041,796
1614389042,600
1614389042,740
1614389043,532
1614389044,834
1614389044,676
1614389045,618
1614389046,911
1614389047,883
1614389048,956
1614389049,928
1614389049,888
1614389050,657
1614389051,690
1614389052,1007
