#Timestamp,Adds,Deletes,Queries
1609987718,0,0,1
1609987814,259,52,0
1609989627,139,14,0
1609989661,0,0,1
1609991434,297,118,0
1609992916,0,0,1
1609993247,188,172,0
1609994740,0,0,1
1609995244,418,113,0
1609996201,0,0,1
1609997073,264,190,0
1609998871,216,83,0
1610011195,1485,1227,0
1610041734,3565,3172,0
1610046177,716,236,0
1610048106,284,168,0
1610052842,0,0,1
1610057163,1538,712,0
1610057165,0,0,1
1610063354,0,0,1
1610065015,0,0,1
1610066534,1144,580,0
1610066541,0,0,1
1610066669,0,0,1
1610067401,0,0,1
1610069164,517,211,0
1610069890,0,0,1
1610072952,0,0,1
1610073120,0,0,1
1610073120,0,0,1
1610073525,0,0,1
1610074678,166,17,0
1610075320,0,0,1
1610075966,1119,186,0
1610080557,1138,182,0
1610082533,413,321,0
1610084341,423,196,0
1610086147,243,67,0
1610087527,0,0,1
1610087681,0,0,1
1610087760,0,0,1
1610087928,327,109,0
1610088357,0,0,1
1610120273,4767,3057,0
1610120593,0,0,1
1610120846,0,0,1
1610122092,188,30,0
1610123922,347,25,0
1610128126,449,897,0
1610128214,0,0,1
1610128594,0,0,1
1610129473,0,0,1
1610129909,310,315,0
1610131700,202,23,0
1610133948,494,63,0
1610155297,0,0,1
1610165552,4025,1779,0
1610167574,245,63,0
1610169483,0,0,1
1610169561,0,0,1
1610169644,0,0,1
1610169932,0,0,1
1610170127,0,0,1
1610170173,295,42,0
1610170185,0,0,1
1610171968,182,21,0
1610172126,0,0,1
1610207217,3643,1921,0
1610207403,0,0,1
1610207480,0,0,1
1610207766,0,0,1
1610207766,0,0,1
1610207767,0,0,1
1610208061,0,0,1
1610208288,0,0,1
1610208642,0,0,1
1610208682,0,0,1
1610208865,0,0,1
1610208999,227,44,0
1610209096,0,0,1
1610209253,0,0,1
1610209376,0,0,1
1610209430,0,0,1
1610209562,0,0,1
1610209931,0,0,1
1610210380,0,0,1
1610210838,189,36,0
1610210925,0,0,1
1610211931,0,0,1
1610212649,225,915,0
1610212684,0,0,1
1610212693,0,0,1
1610212693,0,0,1
1610212802,0,0,1
1610212858,0,0,1
1610214154,0,0,1
1610214467,255,185,0
1610237399,2693,556,0
1610239173,209,29,0
1610240990,169,44,0
1610242810,158,13,0
1610243530,0,0,1
1610244145,0,0,1
1610244525,0,0,1
1610244589,117,9,0
1610246366,256,50,0
1610247018,0,0,1
1610248176,131,19,0
1610249979,157,133,0
1610251753,68,33,0
1610251879,0,0,1
1610253237,0,0,1
1610253566,280,33,0
1610255353,250,46,0
1610257129,454,64,0
1610258183,0,0,1
1610258420,0,0,1
1610292969,4502,1487,0
1610294749,113,2,0
1610296374,0,0,1
1610296787,0,0,1
1610296865,256,34,0
1610296921,0,0,1
1610296989,0,0,1
1610297061,0,0,1
1610297336,0,0,1
1610298049,0,0,1
1610298203,0,0,1
1610298556,0,0,1
1610315942,2933,1905,0
1610315970,0,0,1
1610315979,0,0,1
1610317228,0,0,1
1610317380,0,0,1
1610318783,0,0,1
1610318914,0,0,1
1610318928,358,102,0
1610318998,0,0,1
1610319734,0,0,1
1610320799,0,0,1
1610320825,0,0,1
1610321073,0,0,1
1610321073,0,0,1
1610321127,406,236,0
1610321341,0,0,1
1610322924,171,44,0
1610324724,306,95,0
1610324792,0,0,1
1610325321,0,0,1
1610325332,0,0,1
1610325376,0,0,1
1610325386,0,0,1
1610326540,163,29,0
1610327161,0,0,1
1610327163,0,0,1
1610334380,1131,333,0
1610379449,5812,3880,0
1610380017,0,0,1
1610380017,0,0,1
1610380017,0,0,1
1610380091,0,0,1
1610380286,0,0,1
1610380314,0,0,1
1610381228,269,265,0
1610382678,0,0,1
1610382971,0,0,1
1610383344,0,0,1
1610383763,322,59,0
1610383965,0,0,1
1610383965,0,0,1
1610385579,209,907,0
1610385659,0,0,1
1610407358,3858,3072,0
1610408533,0,0,1
1610408791,0,0,1
1610408960,0,0,1
1610409018,0,0,1
1610409081,0,0,1
1610409142,208,66,0
1610409327,0,0,1
1610409443,0,0,1
1610409517,0,0,1
1610409668,0,0,1
1610409869,0,0,1
1610410965,214,69,0
1610412736,278,121,0
1610414535,268,72,0
1610419123,652,280,0
1610419138,0,0,1
1610420195,0,0,1
1610420195,0,0,1
1610420333,0,0,1
1610420491,0,0,1
1610420900,215,65,0
1610422673,236,103,0
1610424317,0,0,1
1610424330,0,0,1
1610424371,0,0,1
1610424880,277,56,0
1610426673,273,150,0
1610428500,209,89,0
1610428897,0,0,1
1610428909,0,0,1
1610428938,0,0,1
1610429236,0,0,1
1610429426,0,0,1
1610429751,0,0,1
1610430304,165,188,0
1610431343,0,0,1
1610431508,0,0,1
1610431777,0,0,1
1610431851,0,0,1
1610432120,214,79,0
1610432135,0,0,1
1610432262,0,0,1
1610432298,0,0,1
1610432447,0,0,1
1610432605,0,0,1
1610432773,0,0,1
1610432841,0,0,1
1610432841,0,0,1
1610432864,0,0,1
1610432882,0,0,1
1610433220,0,0,1
1610433522,0,0,1
1610433934,0,0,1
1610433937,209,62,0
1610468557,4812,2956,0
1610470603,0,0,1
1610470632,0,0,1
1610471536,0,0,1
1610473068,651,1104,0
1610473627,0,0,1
1610473775,0,0,1
1610473790,0,0,1
1610473791,0,0,1
1610473791,0,0,1
1610473813,0,0,1
1610473892,0,0,1
1610474490,0,0,1
